sentences,labels
"['Intravenous', 'azithromycin', '-', 'induced', 'ototoxicity', '.']","['O', 'B-drug', 'O', 'O', 'B-effect', 'O']"
"['Immobilization', ',', 'while', ""Paget's"", 'bone', 'disease', 'was', 'present', ',', 'and', 'perhaps', 'enhanced', 'activation', 'of', 'dihydrotachysterol', 'by', 'rifampicin', ',', 'could', 'have', 'led', 'to', 'increased', 'calcium-release', 'into', 'the', 'circulation', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'O', 'O', 'O', 'O']"
"['Unaccountable', 'severe', 'hypercalcemia', 'in', 'a', 'patient', 'treated', 'for', 'hypoparathyroidism', 'with', 'dihydrotachysterol', '.']","['O', 'O', 'B-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O']"
"['METHODS', ':', 'We', 'report', 'two', 'cases', 'of', 'pseudoporphyria', 'caused', 'by', 'naproxen', 'and', 'oxaprozin', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'O', 'O', 'B-drug', 'O', 'O', 'O']"
"['METHODS', ':', 'We', 'report', 'two', 'cases', 'of', 'pseudoporphyria', 'caused', 'by', 'naproxen', 'and', 'oxaprozin', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'O', 'O', 'O', 'O', 'B-drug', 'O']"
"['Naproxen', ',', 'the', 'most', 'common', 'offender', ',', 'has', 'been', 'associated', 'with', 'a', 'dimorphic', 'clinical', 'pattern', ':', 'a', 'PCT-like', 'presentation', 'and', 'one', 'simulating', 'erythropoietic', 'protoporphyria', 'in', 'the', 'pediatric', 'population', '.']","['B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O']"
"['RESULTS', ':', 'A', '44-year-old', 'man', 'taking', 'naproxen', 'for', 'chronic', 'low', 'back', 'pain', 'and', 'a', '20-year-old', 'woman', 'on', 'oxaprozin', 'for', 'rheumatoid', 'arthritis', 'presented', 'with', 'tense', 'bullae', 'and', 'cutaneous', 'fragility', 'on', 'the', 'face', 'and', 'the', 'back', 'of', 'the', 'hands', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['RESULTS', ':', 'A', '44-year-old', 'man', 'taking', 'naproxen', 'for', 'chronic', 'low', 'back', 'pain', 'and', 'a', '20-year-old', 'woman', 'on', 'oxaprozin', 'for', 'rheumatoid', 'arthritis', 'presented', 'with', 'tense', 'bullae', 'and', 'cutaneous', 'fragility', 'on', 'the', 'face', 'and', 'the', 'back', 'of', 'the', 'hands', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['RESULTS', ':', 'A', '44-year-old', 'man', 'taking', 'naproxen', 'for', 'chronic', 'low', 'back', 'pain', 'and', 'a', '20-year-old', 'woman', 'on', 'oxaprozin', 'for', 'rheumatoid', 'arthritis', 'presented', 'with', 'tense', 'bullae', 'and', 'cutaneous', 'fragility', 'on', 'the', 'face', 'and', 'the', 'back', 'of', 'the', 'hands', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['RESULTS', ':', 'A', '44-year-old', 'man', 'taking', 'naproxen', 'for', 'chronic', 'low', 'back', 'pain', 'and', 'a', '20-year-old', 'woman', 'on', 'oxaprozin', 'for', 'rheumatoid', 'arthritis', 'presented', 'with', 'tense', 'bullae', 'and', 'cutaneous', 'fragility', 'on', 'the', 'face', 'and', 'the', 'back', 'of', 'the', 'hands', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
